sampleCount,distinctYearsUsed,effectiveYearCount,earliestSourceYear,latestSourceYear,fallbackLevel,averageSimilarity,minimumSimilarity,topYearWeightShare,latestYearWeightShare
39,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8111,0.6817,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7851,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8073,0.7295,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8042,0.7250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8139,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7749,0.6920,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7571,0.7159,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8019,0.7191,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8414,0.8250,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8024,0.6908,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8106,0.7375,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8391,0.8250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8142,0.7432,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7116,0.6783,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8059,0.7286,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8249,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8146,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7943,0.7350,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8454,0.7875,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8078,0.6964,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8250,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8064,0.7875,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8130,0.6868,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8195,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8365,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8193,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7861,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7903,0.7250,1.0000,1.0000
31,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7515,0.7023,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8401,0.7875,1.0000,1.0000
50,6,2.9283,2017,2025,SAME_REGION_TYPE,0.9307,0.9231,0.5332,0.0208
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8508,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8288,0.7500,1.0000,1.0000
22,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7312,0.6847,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8260,0.7688,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8277,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8549,0.8250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8186,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8517,0.8250,1.0000,1.0000
29,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8143,0.6964,1.0000,1.0000
50,9,7.4128,2017,2025,SAME_REGION_TYPE,0.9310,0.9231,0.1770,0.0208
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8071,0.7500,1.0000,1.0000
50,9,7.5216,2017,2025,SAME_REGION_TYPE,0.8819,0.7875,0.1885,0.1885
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8316,0.7950,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8138,0.7875,1.0000,1.0000
23,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7975,0.7432,1.0000,1.0000
