year	indexValue	source
2017	97.65	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2018	99.09	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2019	99.47	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2020	100.00	KOSTAT 소비자물가지수(전국, 2020=100), 연평균(기준연도). rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2021	102.50	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2022	107.72	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2023	111.59	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2024	114.18	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2025	116.61	KOSTAT 소비자물가지수(전국, 2020=100), 연평균. rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-historical-cpi/) 확인일 2026-08-08.
2026	119.77	[PARTIAL-YEAR] KOSTAT 소비자물가지수(전국, 2020=100), 2026년 7월 월간 지수(연평균 아님 - 2026년 전체 데이터 아직 미확정, 분석 시점 기준 최신값 사용). rateinflation.com 재게시(https://www.rateinflation.com/consumer-price-index/korea-cpi/) 확인일 2026-08-08.
